"date","WeatherDelay","ArrDelay","DepDelay","TaxiIn","TaxiOut","Cancelled","LateAircraftDelay"
"2006-12-11",35,60,35,2,50,0,0
"2006-12-12",0,NA,NA,0,0,1,0
"2006-12-12",87,99,87,3,23,0,0
"2006-12-12",55,55,65,2,15,0,0
"2006-12-13",21,21,38,3,12,0,0
"2006-12-14",70,70,78,2,20,0,0
"2006-12-14",80,82,80,6,20,0,0
"2006-12-14",109,109,115,2,22,0,0
"2006-12-15",46,46,54,2,19,0,0
"2007-01-04",75,81,75,2,31,0,0
"2007-01-04",25,55,25,2,50,0,0
"2007-01-05",93,93,96,2,17,0,0
"2007-01-09",56,56,70,2,16,0,0
"2007-01-11",25,25,37,3,13,0,0
"2007-01-11",43,43,52,2,16,0,0
"2007-01-12",0,NA,NA,0,0,1,0
"2007-01-12",88,96,88,2,16,0,0
"2007-01-12",59,91,59,37,14,0,0
"2007-01-15",0,NA,NA,0,0,1,0
"2007-01-15",43,62,43,3,37,0,0
"2007-01-21",0,NA,NA,0,0,1,0
"2007-01-21",59,59,65,2,10,0,0
"2007-01-21",68,85,68,5,39,0,0
"2007-01-21",55,74,55,4,45,0,0
"2007-01-25",34,35,34,3,18,0,0
"2007-01-26",56,56,60,3,25,0,0
"2007-01-28",29,29,33,6,14,0,0
"2007-01-28",42,42,49,3,21,0,0
"2007-01-28",40,41,40,1,26,0,0
"2007-01-29",0,NA,NA,0,0,1,0
"2007-01-29",31,31,42,2,15,0,0
"2007-01-29",88,89,88,3,25,0,0
"2007-01-29",65,67,65,2,31,0,0
"2007-01-15",19,19,11,7,25,0,0
"2007-01-15",0,NA,NA,0,0,1,0
"2007-01-21",7,127,130,7,20,0,120
"2007-01-18",34,41,44,9,16,0,7
"2007-01-21",7,66,78,7,7,0,59
"2007-01-13",0,NA,NA,0,0,1,0
"2007-01-15",19,161,158,4,29,0,139
"2007-01-18",6,126,70,7,77,0,64
"2007-01-21",0,NA,NA,0,0,1,0
"2007-01-29",0,NA,NA,0,0,1,0
"2007-01-15",87,148,150,8,12,0,61
"2007-01-18",12,130,97,4,50,0,85
"2007-01-21",0,NA,NA,0,0,1,0
"2007-01-29",23,57,50,8,23,0,27
"2007-01-02",19,19,30,8,7,0,0
"2007-01-14",0,NA,NA,0,0,1,0
"2007-01-15",0,NA,NA,0,0,1,0
"2007-01-16",12,18,12,5,20,0,0
"2007-01-21",0,NA,NA,0,0,1,0
"2007-01-15",14,56,31,5,43,0,17
"2007-01-21",7,140,62,14,91,0,55
"2007-01-22",1,19,33,7,9,0,18
"2007-01-15",27,49,27,5,46,0,0
"2007-01-16",17,25,25,5,21,0,8
"2007-01-18",3,69,44,6,46,0,41
"2007-01-22",4,18,26,4,13,0,14
"2007-01-28",0,NA,NA,0,0,1,0
"2007-01-29",15,15,19,7,21,0,0
"2007-01-31",3,25,6,9,39,0,3
"2007-01-15",0,NA,NA,0,0,1,0
"2007-01-21",8,68,8,27,60,0,0
"2007-01-29",16,26,17,3,39,0,1
"2007-01-13",52,55,63,4,18,0,3
"2007-01-15",41,383,338,6,73,0,297
"2007-02-01",15,20,15,5,24,0,0
"2007-02-01",35,45,35,3,23,0,0
"2007-02-01",26,26,30,4,22,0,0
"2007-02-02",0,NA,NA,0,0,1,0
"2007-02-03",105,120,105,3,18,0,0
"2007-02-03",45,47,45,4,18,0,0
"2007-02-03",84,84,98,2,23,0,0
