UniqueCarrier,tailnum,AvgCatchUpTime,iloscWystapien,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,year
DL,N919DE,-0.3512,22106,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,12/02/1993,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
DL,N919DL,-0.2053,21307,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,10/09/2007,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
EV,N919EV,-2.9341,9762,Corporation,BOMBARDIER INC,04/09/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
YV,N919FJ,-0.8381,4676,Corporation,BOMBARDIER INC,04/14/2004,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
F9,N919FR,-0.5875,5161,Corporation,AIRBUS,06/05/2003,A319-111,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
OO,N919SW,-1.6985,11755,Corporation,BOMBARDIER INC,07/03/2002,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
UA,N919UA,-1.8384,22525,Corporation,BOEING,11/04/1991,737-522,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
US,N919UW,-1.1446,1690,Corporation,BOEING,02/14/2005,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1982
FL,N920AT,-1.0458,11011,Corporation,BOEING,04/13/2001,717-200,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
OH,N920CA,-1.2363,8477,Corporation,CANADAIR,09/29/1993,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
DL,N920DE,-0.1446,22193,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,01/11/1994,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
DL,N920DL,-0.1517,22172,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,10/02/2007,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
EV,N920EV,-3.1207,10121,Corporation,BOMBARDIER INC,07/02/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
YV,N920FJ,-0.9862,4830,Corporation,BOMBARDIER INC,04/22/2004,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
F9,N920FR,-0.5053,5147,Corporation,AIRBUS,06/30/2003,A319-111,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
OO,N920SW,-1.8257,11373,Corporation,BOMBARDIER INC,07/10/2002,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
US,N920UW,-3.4498,1377,Corporation,BOEING,02/14/2005,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1983
FL,N921AT,-0.7662,10548,Corporation,BOEING,04/10/2001,717-200,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
DL,N921DL,-0.1150,20782,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,10/22/2007,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
EV,N921EV,-3.0166,9269,Corporation,BOMBARDIER INC,07/10/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
YV,N921FJ,-0.8259,4934,Corporation,BOMBARDIER INC,06/09/2004,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
F9,N921FR,-0.6402,5069,Corporation,AIRBUS,11/30/2007,A319-111,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
NW,N921RW,-0.1114,17314,Corporation,DOUGLAS,12/22/1986,DC-9-31,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1968
UA,N921UA,-1.8472,22290,Corporation,BOEING,12/23/1991,737-522,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
US,N921UW,-1.2572,1730,Corporation,BOEING,10/19/2004,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1983
MQ,N922AE,0.0134,6985,Corporation,EMBRAER,04/27/2005,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
FL,N922AT,-0.7334,6195,Corporation,BOEING,06/21/2005,717-200,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
DL,N922DL,-0.1915,22333,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,10/26/2007,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
EV,N922EV,-3.0452,9381,Corporation,BOMBARDIER INC,07/10/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
YV,N922FJ,-0.6635,4910,Corporation,BOMBARDIER INC,09/27/2005,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
F9,N922FR,-0.7563,5063,Corporation,AIRBUS,08/15/2003,A319-111,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
UA,N922UA,-1.7893,22179,Corporation,BOEING,01/06/1992,737-522,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
US,N922UW,-1.8785,1501,Corporation,BOEING,02/14/2005,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1983
MQ,N923AE,0.1539,6602,Corporation,EMBRAER,04/28/2005,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
FL,N923AT,-0.8400,5355,Corporation,BOEING,10/27/2005,717-200,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
DL,N923DL,0.1315,21601,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,07/02/2007,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
EV,N923EV,-3.2477,9197,Corporation,BOMBARDIER INC,08/14/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
YV,N923FJ,-0.8195,5054,Corporation,BOMBARDIER INC,09/29/2005,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
F9,N923FR,-0.6539,5047,Corporation,AIRBUS,11/07/2003,A319-111,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
NW,N923RW,0.0619,16933,Corporation,DOUGLAS,12/22/1986,DC-9-31,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1968
OO,N923SW,-2.0017,11706,Corporation,BOMBARDIER INC,10/09/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
UA,N923UA,-1.6471,21957,Corporation,BOEING,01/06/1992,737-522,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
US,N923UW,-1.8846,1587,Corporation,BOEING,10/19/2004,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1983
FL,N924AT,-0.9011,10554,Corporation,BOEING,04/10/2001,717-200,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
OH,N924CA,-1.4256,8573,Corporation,CANADAIR,12/21/1993,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
DL,N924DL,-0.0283,20969,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,07/02/2007,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
EV,N924EV,-3.2721,9600,Corporation,BOMBARDIER INC,08/20/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
YV,N924FJ,-1.1586,4908,Corporation,BOMBARDIER INC,09/27/2005,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
F9,N924FR,-0.6188,5017,Corporation,AIRBUS,12/05/2003,A319-111,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
NW,N924RW,0.2403,18700,Corporation,DOUGLAS,12/22/1986,DC-9-31,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1968
OO,N924SW,-1.4678,11706,Corporation,BOMBARDIER INC,10/18/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
UA,N924UA,-1.7450,22349,Corporation,BOEING,02/10/1992,737-522,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
US,N924UW,-2.4814,1454,Corporation,BOEING,02/14/2005,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1983
MQ,N925AE,0.3757,6382,Corporation,EMBRAER,04/28/2005,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
FL,N925AT,-1.7087,9646,Corporation,BOEING,04/10/2001,717-200,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
DL,N925DL,0.0554,22263,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,03/20/2008,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
